IT8.7/2
ORIGINATOR "Eastman Kodak Company"
DESCRIPTOR "Q60R1, IT8.7/2 Data Files, 5x7 inch Ektacolor"
CREATED  "SEPTEMBER 29,1997"
MANUFACTURER " Eastman Kodak Company"
PROD_DATE "1997:08 "
SERIAL  "1997:08 BATCH AVERAGE DATA"
MATERIAL "Ektacolor Product Family"
KEYWORD "MEAN_DE" # Mean Delta E of samples compared to batch average
#
# STDEV_DE in this data set is the average of the standard deviations of
# L*, a* and b*.  It is used to derive an estimate of the chi-squared
# parameter which is recommended as the predictor of the variability of
# DELTAE.  SEE FILE ON THIS DISK CALLED CHI-SQ.*
#
NUMBER_OF_FIELDS 12
BEGIN_DATA_FORMAT
SAMPLE_ID XYZ_X XYZ_Y XYZ_Z LAB_L LAB_A LAB_B STDEV_X STDEV_Y STDEV_Z
    MEAN_DE STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS  264
BEGIN_DATA
#ID    X      Y      Z      L      A      B    S_X   S_Y   S_Z   M_DE  S_DE
I05  14.29  14.67  16.81  45.18   0.87 -12.18  0.39  0.34  0.50  0.80  0.49
I06  14.26  14.49  21.13  44.93   1.77 -21.94  0.39  0.34  0.54  0.75  0.45
I07  14.52  14.74  25.75  45.27   1.85 -30.00  0.40  0.36  0.53  0.68  0.40
I08  14.60  15.23  31.31  45.95  -0.54 -37.97  0.38  0.37  0.45  0.64  0.37
I09  40.04  41.53  39.31  70.54  -0.02  -6.98  0.68  0.61  0.70  0.65  0.40
I10  40.33  41.66  42.90  70.63   0.48 -11.44  0.71  0.64  0.68  0.62  0.38
I11  40.45  41.71  46.57  70.67   0.71 -15.85  0.63  0.58  0.57  0.56  0.34
I12  41.08  42.35  48.81  71.11   0.73 -17.69  0.64  0.58  0.52  0.55  0.33
I13  18.06  26.81  42.08  58.80 -36.36 -30.82  0.39  0.47  0.42  0.50  0.31
I14  31.04  18.16  27.33  49.69  59.54 -25.13  0.23  0.18  0.27  0.29  0.19
I15  58.76  57.86  10.11  80.66   7.27  67.33  0.37  0.41  0.36  0.84  0.46
I16   5.83   6.10   5.54  29.66  -0.56  -2.52  0.23  0.20  0.25  0.84  0.52
I17  27.19  17.66   6.33  49.08  47.33  27.25  0.27  0.22  0.28  0.85  0.47
I18  12.06  19.70   8.59  51.50 -40.89  22.31  0.38  0.46  0.33  0.75  0.47
I19   9.23   7.93  23.24  33.84  13.85 -45.16  0.26  0.23  0.36  0.58  0.34
I20   0.47   0.43   0.41   3.85   2.40  -1.12  0.02  0.02  0.02  0.30  0.18
I21   2.36   1.82   1.21  14.49  13.60   3.70  0.12  0.08  0.06  0.70  0.43
I22   2.57   2.09   1.09  15.97  11.48   7.87  0.12  0.09  0.05  0.68  0.41
J01   2.15   1.87   3.37  14.77   7.98 -15.79  0.10  0.08  0.17  0.75  0.48
J02   2.56   1.88   5.75  14.82  16.23 -29.16  0.11  0.07  0.24  0.77  0.49
J03   2.93   1.80   8.89  14.37  25.03 -42.80  0.11  0.06  0.26  0.63  0.39
J04   3.12   1.79  11.16  14.33  28.66 -50.38  0.09  0.06  0.22  0.44  0.27
J05  11.35  11.00  13.16  39.58   5.43 -12.60  0.37  0.31  0.47  0.86  0.53
J06  12.12  10.88  16.94  39.37  11.76 -22.52  0.36  0.29  0.50  0.78  0.47
J07  12.77  10.77  21.06  39.18  17.02 -31.72  0.37  0.29  0.49  0.70  0.41
J08  13.91  11.23  25.02  39.96  20.99 -37.87  0.38  0.30  0.45  0.65  0.37
J09  40.56  41.11  38.99  70.25   2.88  -7.06  0.72  0.64  0.74  0.65  0.40
J10  41.27  41.02  42.20  70.19   5.29 -11.33  0.67  0.60  0.67  0.61  0.37
J11  42.39  41.16  46.17  70.29   8.25 -16.03  0.63  0.56  0.56  0.55  0.32
J12  43.45  41.52  48.64  70.54  10.32 -18.48  0.61  0.55  0.50  0.53  0.32
J13  14.68  22.68  38.30  54.74 -37.97 -32.88  0.32  0.41  0.41  0.46  0.27
J14  27.75  15.47  24.54  46.27  61.73 -26.15  0.24  0.17  0.26  0.30  0.19
J15  56.15  53.98   6.75  78.45  10.44  76.03  0.40  0.44  0.27  0.78  0.46
J16   3.22   3.32   2.91  21.27   0.36  -1.32  0.15  0.14  0.16  0.77  0.48
J17  22.65  13.67   3.66  43.76  50.93  32.25  0.26  0.18  0.19  0.80  0.45
J18   8.40  15.02   5.48  45.65 -44.10  25.30  0.30  0.40  0.24  0.72  0.44
J19   6.19   4.85  18.63  26.29  17.85 -48.86  0.19  0.17  0.35  0.54  0.30
J20   7.60   5.01   1.47  26.77  30.00  21.48  0.24  0.15  0.08  0.68  0.42
J21  10.94   7.44   1.97  32.78  31.78  26.50  0.28  0.19  0.10  0.67  0.42
J22  14.15  10.33   3.24  38.43  29.12  25.89  0.34  0.25  0.16  0.73  0.45
K01   5.33   4.41   5.84  24.98  13.84 -12.07  0.20  0.15  0.27  0.85  0.53
K02   6.72   4.41   8.30  24.98  29.11 -22.35  0.22  0.13  0.30  0.80  0.50
K03   7.82   4.24  10.66  24.43  42.11 -31.40  0.21  0.11  0.26  0.65  0.40
K04   9.09   4.67  12.75  25.77  47.46 -35.29  0.21  0.11  0.22  0.54  0.32
